author,count,conference,year
Qi Tian,24,CVPR,2020
Ling Shao,14,CVPR,2020
Boxin Shi,12,CVPR,2020
Chunhua Shen,12,CVPR,2020
Rongrong Ji,11,CVPR,2020
Zheng-Jun Zha,11,CVPR,2020
Jianbing Shen,10,CVPR,2020
Dacheng Tao,10,CVPR,2020
Alan L. Yuille,9,CVPR,2020
Chang Xu,9,CVPR,2020
Dahua Lin,9,CVPR,2020
Jan Kautz,9,CVPR,2020
Chen Change Loy,9,CVPR,2020
Fahad Shahbaz Khan,9,CVPR,2020
Xiaogang Wang,9,CVPR,2020
Junjie Yan,8,CVPR,2020
Huchuan Lu,8,CVPR,2020
Jiashi Feng,8,CVPR,2020
Leonidas J. Guibas,8,CVPR,2020
Hanwang Zhang,8,CVPR,2020
Ming-Hsuan Yang,8,CVPR,2020
Yi Yang,8,CVPR,2020
Yu-Wing Tai,8,CVPR,2020
Jian Sun,8,CVPR,2020
Philip H.S. Torr,8,CVPR,2020
Ping Luo,8,CVPR,2020
Christian Theobalt,8,CVPR,2020
Yun Fu,7,CVPR,2020
Wenjun Zeng,7,CVPR,2020
Chen Qian,7,CVPR,2020
Yunhe Wang,7,CVPR,2020
Ming-Ming Cheng,7,CVPR,2020
Marc Pollefeys,7,CVPR,2020
Xiaoming Liu,7,CVPR,2020
Cewu Lu,7,CVPR,2020
Jian Yang,7,CVPR,2020
Stefanos Zafeiriou,7,CVPR,2020
Xilin Chen,7,CVPR,2020
Luc Van Gool,6,CVPR,2020
Yu Qiao,6,CVPR,2020
Li Zhang,6,CVPR,2020
Chunjing Xu,6,CVPR,2020
Jiwen Lu,6,CVPR,2020
Jie Zhou,6,CVPR,2020
Matthias Niessner,6,CVPR,2020
Andreas Geiger,6,CVPR,2020
Bolei Zhou,6,CVPR,2020
Manmohan Chandraker,6,CVPR,2020
Chao Xu,6,CVPR,2020
Lei Zhang,6,CVPR,2020
Ziwei Liu,6,CVPR,2020
Wanli Ouyang,6,CVPR,2020
Guosheng Lin,6,CVPR,2020
R. Venkatesh Babu,6,CVPR,2020
Jianping Shi,6,CVPR,2020
Felix Heide,6,CVPR,2020
Kai Xu,6,CVPR,2020
Gregory Slabaugh,6,CVPR,2020
Shiguang Shan,6,CVPR,2020
Ruigang Yang,6,CVPR,2020
Qingming Huang,6,CVPR,2020
Zhe Lin,6,CVPR,2020
Quoc V. Le,6,CVPR,2020
Xiaojun Chang,6,CVPR,2020
Nuno Vasconcelos,6,CVPR,2020
Mathieu Salzmann,6,CVPR,2020
Pascal Fua,6,CVPR,2020
Thomas S. Huang,6,CVPR,2020
Dongdong Chen,6,CVPR,2020
Dong Chen,6,CVPR,2020
Fang Wen,6,CVPR,2020
Kristen Grauman,6,CVPR,2020
Xiaodan Liang,6,CVPR,2020
Jiaya Jia,6,CVPR,2020
Qi Wu,6,CVPR,2020
Radu Timofte,5,CVPR,2020
Xianglong Liu,5,CVPR,2020
Ali Farhadi,5,CVPR,2020
Cheng Deng,5,CVPR,2020
Heng Huang,5,CVPR,2020
Stefano Soatto,5,CVPR,2020
Si Liu,5,CVPR,2020
Fei Wang,5,CVPR,2020
Hongdong Li,5,CVPR,2020
Vladlen Koltun,5,CVPR,2020
Feng Wu,5,CVPR,2020
Tianzhu Zhang,5,CVPR,2020
Xin Yang,5,CVPR,2020
Yanwei Pang,5,CVPR,2020
Hao Li,5,CVPR,2020
Tong Zhang,5,CVPR,2020
Jianzhuang Liu,5,CVPR,2020
Noah Snavely,5,CVPR,2020
Lei Zhou,5,CVPR,2020
Long Quan,5,CVPR,2020
Wei-Shi Zheng,5,CVPR,2020
Chang Liu,5,CVPR,2020
Yadong Mu,5,CVPR,2020
Shuhui Wang,5,CVPR,2020
Oliver Wang,5,CVPR,2020
Linchao Zhu,5,CVPR,2020
Boqing Gong,5,CVPR,2020
Salman Khan,5,CVPR,2020
Peng Wang,5,CVPR,2020
Yu Liu,5,CVPR,2020
Zhaopeng Cui,5,CVPR,2020
Zhaoxiang Zhang,5,CVPR,2020
Tieniu Tan,5,CVPR,2020
Chi-Keung Tang,5,CVPR,2020
Xin Tong,5,CVPR,2020
Peter Wonka,5,CVPR,2020
Joshua B. Tenenbaum,5,CVPR,2020
Ping Tan,5,CVPR,2020
Larry S. Davis,5,CVPR,2020
Wangmeng Zuo,5,CVPR,2020
Honghui Shi,5,CVPR,2020
Xiatian Zhu,5,CVPR,2020
Yunchao Wei,5,CVPR,2020
Bo Li,5,CVPR,2020
Xin Wang,5,CVPR,2020
Trevor Darrell,5,CVPR,2020
Yang Liu,5,CVPR,2020
Zhen Lei,5,CVPR,2020
Gang Hua,5,CVPR,2020
Raquel Urtasun,5,CVPR,2020
Lu Yuan,5,CVPR,2020
Qixiang Ye,5,CVPR,2020
Gerard Pons-Moll,5,CVPR,2020
Tao Mei,5,CVPR,2020
Jiebo Luo,5,CVPR,2020
Yongdong Zhang,5,CVPR,2020
Nenghai Yu,5,CVPR,2020
Anton Van Den Hengel,5,CVPR,2020
Rui Zhao,4,CVPR,2020
Chenliang Xu,4,CVPR,2020
Abhinav Gupta,4,CVPR,2020
Mingliang Xu,4,CVPR,2020
Andrea Tagliasacchi,4,CVPR,2020
Cuiling Lan,4,CVPR,2020
Qinghua Hu,4,CVPR,2020
Bernard Ghanem,4,CVPR,2020
Victor Lempitsky,4,CVPR,2020
Ross Girshick,4,CVPR,2020
Kaiming He,4,CVPR,2020
Kai Han,4,CVPR,2020
Xin Yu,4,CVPR,2020
Deng-Ping Fan,4,CVPR,2020
Cees G. M. Snoek,4,CVPR,2020
Yan Wang,4,CVPR,2020
Bo Dai,4,CVPR,2020
Rui Wang,4,CVPR,2020
Daniel Cremers,4,CVPR,2020
Tao Wang,4,CVPR,2020
Wei Liu,4,CVPR,2020
Yinda Zhang,4,CVPR,2020
Ales Leonardis,4,CVPR,2020
Xiaohang Zhan,4,CVPR,2020
Xinchao Wang,4,CVPR,2020
Li Yi,4,CVPR,2020
Xu Jia,4,CVPR,2020
Qifeng Chen,4,CVPR,2020
Rynson W.H. Lau,4,CVPR,2020
Yonghong Tian,4,CVPR,2020
Jianqiang Huang,4,CVPR,2020
Jia-Bin Huang,4,CVPR,2020
Zixin Luo,4,CVPR,2020
Tian Fang,4,CVPR,2020
Gregory D. Hager,4,CVPR,2020
Chi Zhang,4,CVPR,2020
Li Liu,4,CVPR,2020
Fan Zhu,4,CVPR,2020
Liang Li,4,CVPR,2020
Meng Wang,4,CVPR,2020
Ivan Laptev,4,CVPR,2020
Antonio Torralba,4,CVPR,2020
Sanja Fidler,4,CVPR,2020
Joost Van De Weijer,4,CVPR,2020
Varun Jampani,4,CVPR,2020
Carsten Rother,4,CVPR,2020
Gim Hee Lee,4,CVPR,2020
Guo-Jun Qi,4,CVPR,2020
Mingxing Tan,4,CVPR,2020
Hao Su,4,CVPR,2020
Ravi Ramamoorthi,4,CVPR,2020
Mingkui Tan,4,CVPR,2020
Jiri Matas,4,CVPR,2020
Martin Danelljan,4,CVPR,2020
Xiangyu Zhang,4,CVPR,2020
Xiang Li,4,CVPR,2020
William T. Freeman,4,CVPR,2020
Hao Chen,4,CVPR,2020
Wenguan Wang,4,CVPR,2020
Xian-Sheng Hua,4,CVPR,2020
Adrien Gaidon,4,CVPR,2020
Hongsheng Li,4,CVPR,2020
Dhruv Mahajan,4,CVPR,2020
Alexander G. Schwing,4,CVPR,2020
Dragomir Anguelov,4,CVPR,2020
Stefan Roth,4,CVPR,2020
Laura Leal-Taixe,4,CVPR,2020
Yuchao Dai,4,CVPR,2020
In So Kweon,4,CVPR,2020
Andrea Vedaldi,4,CVPR,2020
Yang Yang,4,CVPR,2020
Yanwei Fu,4,CVPR,2020
Chong-Wah Ngo,4,CVPR,2020
Yu-Gang Jiang,4,CVPR,2020
Bernt Schiele,4,CVPR,2020
Richard Bowden,4,CVPR,2020
Timothy M. Hospedales,4,CVPR,2020
Chen Feng,4,CVPR,2020
Ting Yao,4,CVPR,2020
Jun Wang,4,CVPR,2020
Liang Zheng,4,CVPR,2020
Tao Xiang,4,CVPR,2020
Andrew Zisserman,4,CVPR,2020
Kai Zhang,3,CVPR,2020
Feng Lu,3,CVPR,2020
Dapeng Chen,3,CVPR,2020
Tinne Tuytelaars,3,CVPR,2020
Ruihao Gong,3,CVPR,2020
Dong Wang,3,CVPR,2020
Yulun Zhang,3,CVPR,2020
Ying Wu,3,CVPR,2020
Saurabh Gupta,3,CVPR,2020
David F. Fouhey,3,CVPR,2020
Nam Ik Cho,3,CVPR,2020
Yuan Yuan,3,CVPR,2020
Steven M. Seitz,3,CVPR,2020
Zuzana Kukelova,3,CVPR,2020
Viktor Larsson,3,CVPR,2020
Tomas Pajdla,3,CVPR,2020
Kyle Genova,3,CVPR,2020
Roozbeh Mottaghi,3,CVPR,2020
Xin Jin,3,CVPR,2020
Zhibo Chen,3,CVPR,2020
Jaesik Park,3,CVPR,2020
Junchi Yan,3,CVPR,2020
Yanchao Yang,3,CVPR,2020
Christoph Feichtenhofer,3,CVPR,2020
Zhuo Chen,3,CVPR,2020
Yawei Luo,3,CVPR,2020
Yue Liao,3,CVPR,2020
Hui Ji,3,CVPR,2020
Wei Wu,3,CVPR,2020
Ge-Peng Ji,3,CVPR,2020
Heng Tao Shen,3,CVPR,2020
Angela Dai,3,CVPR,2020
Bineng Zhong,3,CVPR,2020
Jia Deng,3,CVPR,2020
Zhiwei Xiong,3,CVPR,2020
Yebin Liu,3,CVPR,2020
Pheng-Ann Heng,3,CVPR,2020
Chi-Wing Fu,3,CVPR,2020
Yuyin Zhou,3,CVPR,2020
Yue Zhao,3,CVPR,2020
Kim-Hui Yap,3,CVPR,2020
Kihwan Kim,3,CVPR,2020
Orazio Gallo,3,CVPR,2020
Siheng Chen,3,CVPR,2020
Ya Zhang,3,CVPR,2020
Qinhong Jiang,3,CVPR,2020
Liwei Wang,3,CVPR,2020
Yang Wang,3,CVPR,2020
Zequn Jie,3,CVPR,2020
Lingxi Xie,3,CVPR,2020
Yu Wu,3,CVPR,2020
Hanting Chen,3,CVPR,2020
Yehui Tang,3,CVPR,2020
Saurabh Singh,3,CVPR,2020
Rita Cucchiara,3,CVPR,2020
Chaoqun Wang,3,CVPR,2020
Mingli Song,3,CVPR,2020
He Wang,3,CVPR,2020
Yanning Zhang,3,CVPR,2020
Kiriakos N. Kutulakos,3,CVPR,2020
Nicu Sebe,3,CVPR,2020
Tiejun Huang,3,CVPR,2020
Ian Reid,3,CVPR,2020
Jan-Michael Frahm,3,CVPR,2020
Juyong Zhang,3,CVPR,2020
Hao Zhang,3,CVPR,2020
Yung-Yu Chuang,3,CVPR,2020
Yao Yao,3,CVPR,2020
Shiwei Li,3,CVPR,2020
Gui-Song Xia,3,CVPR,2020
Minh Hoai,3,CVPR,2020
Jingdong Wang,3,CVPR,2020
Jie Chen,3,CVPR,2020
Jie Qin,3,CVPR,2020
Hao Zhu,3,CVPR,2020
Miao Zhang,3,CVPR,2020
Jianming Zhang,3,CVPR,2020
Guangrun Wang,3,CVPR,2020
Liang Lin,3,CVPR,2020
Cordelia Schmid,3,CVPR,2020
Liqiang Wang,3,CVPR,2020
Irwin King,3,CVPR,2020
Michael R. Lyu,3,CVPR,2020
Jimmy Ren,3,CVPR,2020
Abel Gonzalez-Garcia,3,CVPR,2020
Dat Huynh,3,CVPR,2020
Ehsan Elhamifar,3,CVPR,2020
Jogendra Nath Kundu,3,CVPR,2020
Duygu Ceylan,3,CVPR,2020
Jie Li,3,CVPR,2020
Cihang Xie,3,CVPR,2020
Kalyan Sunkavalli,3,CVPR,2020
Chunfeng Song,3,CVPR,2020
Jingyi Yu,3,CVPR,2020
Zsolt Kira,3,CVPR,2020
Raja Giryes,3,CVPR,2020
Yu Cheng,3,CVPR,2020
Zhangyang Wang,3,CVPR,2020
Long Mai,3,CVPR,2020
Zhiguo Cao,3,CVPR,2020
Jiajun Wu,3,CVPR,2020
Yong-Lu Li,3,CVPR,2020
Jian-Huang Lai,3,CVPR,2020
Siyu Zhu,3,CVPR,2020
Robby T. Tan,3,CVPR,2020
Munawar Hayat,3,CVPR,2020
Vladimir G. Kim,3,CVPR,2020
Siddhartha Chaudhuri,3,CVPR,2020
Dongwei Ren,3,CVPR,2020
Qilong Wang,3,CVPR,2020
Ye Yuan,3,CVPR,2020
Kris M. Kitani,3,CVPR,2020
Shaogang Gong,3,CVPR,2020
Ying Tai,3,CVPR,2020
Deepti Ghadiyaram,3,CVPR,2020
Fahim Mannan,3,CVPR,2020
Sarah Parisot,3,CVPR,2020
Junsong Yuan,3,CVPR,2020
Oscar Beijbom,3,CVPR,2020
Helge Rhodin,3,CVPR,2020
Hang Zhao,3,CVPR,2020
Lu Fang,3,CVPR,2020
Ying-Cong Chen,3,CVPR,2020
Lorenzo Torresani,3,CVPR,2020
Matt Feiszli,3,CVPR,2020
Feng Zheng,3,CVPR,2020
Changshui Zhang,3,CVPR,2020
Chao Chen,3,CVPR,2020
Lin Ma,3,CVPR,2020
Yuan Yao,3,CVPR,2020
Stan Z. Li,3,CVPR,2020
Deva Ramanan,3,CVPR,2020
Chen Sun,3,CVPR,2020
Jiaolong Yang,3,CVPR,2020
Dingfu Zhou,3,CVPR,2020
Liu Liu,3,CVPR,2020
Junbo Yin,3,CVPR,2020
Changxin Gao,3,CVPR,2020
Jungong Han,3,CVPR,2020
Zhi Tian,3,CVPR,2020
Bo Liu,3,CVPR,2020
Zhuowen Tu,3,CVPR,2020
Bjorn Ommer,3,CVPR,2020
Vladislav Golyanik,3,CVPR,2020
Xiangyu Zhu,3,CVPR,2020
Xiangyang Xue,3,CVPR,2020
Xiaowei Zhou,3,CVPR,2020
Feng Liu,3,CVPR,2020
Shijian Lu,3,CVPR,2020
Patrick Perez,3,CVPR,2020
Michael Zollhofer,3,CVPR,2020
Weihong Deng,3,CVPR,2020
Jaegul Choo,3,CVPR,2020
Bastian Leibe,3,CVPR,2020
Xiaojuan Qi,3,CVPR,2020
Albert Pumarola,3,CVPR,2020
Francesc Moreno-Noguer,3,CVPR,2020
Yongming Rao,3,CVPR,2020
Dimitris N. Metaxas,3,CVPR,2020
Feiyue Huang,3,CVPR,2020
Michael J. Black,3,CVPR,2020
Chenxu Zhao,3,CVPR,2020
Hailin Jin,3,CVPR,2020
Shu Liu,3,CVPR,2020
Bharath Hariharan,3,CVPR,2020
Hang Zhou,3,CVPR,2020
Jing Zhang,3,CVPR,2020
Jiankang Deng,3,CVPR,2020
Ying Nian Wu,3,CVPR,2020
Lei Zhao,3,CVPR,2020
Gang Yu,3,CVPR,2020
Ran He,3,CVPR,2020
Ishan Misra,3,CVPR,2020
Weipeng Xu,3,CVPR,2020
Marc Habermann,3,CVPR,2020
Simon Hadfield,3,CVPR,2020
Niloy J. Mitra,3,CVPR,2020
Chi Su,3,CVPR,2020
Yong Jae Lee,3,CVPR,2020
Yongxin Yang,3,CVPR,2020
Cong Liu,3,CVPR,2020
Yi-Zhe Song,3,CVPR,2020
Federico Perazzi,3,CVPR,2020
Ding Liang,3,CVPR,2020
Mubarak Shah,3,CVPR,2020
Yue Wu,3,CVPR,2020
