author,count,conference,year
Ling Shao,15,ICCV,2019
Yi Yang,10,ICCV,2019
Qi Tian,10,ICCV,2019
Luc Van Gool,9,ICCV,2019
Xiaogang Wang,9,ICCV,2019
Larry S. Davis,9,ICCV,2019
Wanli Ouyang,9,ICCV,2019
Huchuan Lu,9,ICCV,2019
Dacheng Tao,9,ICCV,2019
Junjie Yan,8,ICCV,2019
Antonio Torralba,8,ICCV,2019
Xiaoyong Shen,8,ICCV,2019
Jiaya Jia,8,ICCV,2019
Yanwei Pang,8,ICCV,2019
Leonidas J. Guibas,8,ICCV,2019
Ping Luo,7,ICCV,2019
Song Bai,7,ICCV,2019
Jan Kautz,7,ICCV,2019
Jiashi Feng,7,ICCV,2019
Michael J. Black,7,ICCV,2019
Devi Parikh,7,ICCV,2019
Ming-Ming Cheng,7,ICCV,2019
Guanbin Li,7,ICCV,2019
Chunhua Shen,7,ICCV,2019
Hao Li,7,ICCV,2019
Jitendra Malik,7,ICCV,2019
Trevor Darrell,7,ICCV,2019
Liang Lin,6,ICCV,2019
Wei Liu,6,ICCV,2019
Junsong Yuan,6,ICCV,2019
Dhruv Batra,6,ICCV,2019
Rongrong Ji,6,ICCV,2019
Kate Saenko,6,ICCV,2019
Lior Wolf,6,ICCV,2019
Vikas Singh,6,ICCV,2019
Fahad Shahbaz Khan,6,ICCV,2019
Tao Mei,6,ICCV,2019
Ning Xu,6,ICCV,2019
Yun Fu,6,ICCV,2019
Chen Qian,6,ICCV,2019
Nassir Navab,6,ICCV,2019
Andrea Vedaldi,6,ICCV,2019
Jianbing Shen,6,ICCV,2019
Sanja Fidler,6,ICCV,2019
Radu Timofte,5,ICCV,2019
Pascal Fua,5,ICCV,2019
Deva Ramanan,5,ICCV,2019
Dahua Lin,5,ICCV,2019
Haibin Ling,5,ICCV,2019
Errui Ding,5,ICCV,2019
Vladlen Koltun,5,ICCV,2019
Zhangyang Wang,5,ICCV,2019
Kaiming He,5,ICCV,2019
Yu Liu,5,ICCV,2019
Hongsheng Li,5,ICCV,2019
Xinlei Chen,5,ICCV,2019
Jianping Shi,5,ICCV,2019
Cordelia Schmid,5,ICCV,2019
Xin Wang,5,ICCV,2019
Abhinav Gupta,5,ICCV,2019
Chi-Wing Fu,5,ICCV,2019
Zheng-Jun Zha,5,ICCV,2019
Raquel Urtasun,5,ICCV,2019
Federico Tombari,5,ICCV,2019
Lei Zhang,5,ICCV,2019
Leonid Sigal,5,ICCV,2019
Alan L. Yuille,5,ICCV,2019
Otmar Hilliges,5,ICCV,2019
Zhe Lin,5,ICCV,2019
Zhaoxiang Zhang,5,ICCV,2019
Wenguan Wang,5,ICCV,2019
Matthias Niessner,4,ICCV,2019
Yongxin Yang,4,ICCV,2019
Tao Xiang,4,ICCV,2019
Xiaopeng Hong,4,ICCV,2019
William T. Freeman,4,ICCV,2019
Weihong Deng,4,ICCV,2019
Bharath Hariharan,4,ICCV,2019
Ping Liu,4,ICCV,2019
Xiang Bai,4,ICCV,2019
Yunchao Wei,4,ICCV,2019
Cewu Lu,4,ICCV,2019
Lorenzo Torresani,4,ICCV,2019
Shilei Wen,4,ICCV,2019
Chen Change Loy,4,ICCV,2019
Marc Pollefeys,4,ICCV,2019
Yu-Kun Lai,4,ICCV,2019
Jufeng Yang,4,ICCV,2019
Xiaodan Liang,4,ICCV,2019
Xiaohui Shen,4,ICCV,2019
Jungong Han,4,ICCV,2019
Lingxi Xie,4,ICCV,2019
Hang Zhao,4,ICCV,2019
Chuang Gan,4,ICCV,2019
Shubham Tulsiani,4,ICCV,2019
Thomas S. Huang,4,ICCV,2019
Shu Liu,4,ICCV,2019
Rao Muhammad Anwer,4,ICCV,2019
Wei Wu,4,ICCV,2019
Christian Theobalt,4,ICCV,2019
Jue Wang,4,ICCV,2019
Mathieu Salzmann,4,ICCV,2019
Fei Wang,4,ICCV,2019
Jianfei Cai,4,ICCV,2019
Boxin Shi,4,ICCV,2019
Ling-Yu Duan,4,ICCV,2019
Hanwang Zhang,4,ICCV,2019
Wei Zhang,4,ICCV,2019
Zhaowen Wang,4,ICCV,2019
Chang Xu,4,ICCV,2019
Jian Sun,4,ICCV,2019
Weilin Huang,4,ICCV,2019
Matthew R. Scott,4,ICCV,2019
Salman Khan,4,ICCV,2019
Matthieu Cord,4,ICCV,2019
Yang Yang,4,ICCV,2019
Xin Yuan,4,ICCV,2019
Naiyan Wang,4,ICCV,2019
Ming-Yu Liu,4,ICCV,2019
Liwei Wang,4,ICCV,2019
Jiwen Lu,4,ICCV,2019
Yu-Wing Tai,4,ICCV,2019
Lei Wang,4,ICCV,2019
Jie Zhou,4,ICCV,2019
Shiguang Shan,4,ICCV,2019
Xilin Chen,4,ICCV,2019
Torsten Sattler,3,ICCV,2019
Ping Tan,3,ICCV,2019
Tobias Ritschel,3,ICCV,2019
Timothy M. Hospedales,3,ICCV,2019
Seong-Gyun Jeong,3,ICCV,2019
Dimitris Samaras,3,ICCV,2019
Ying Wu,3,ICCV,2019
Shaogang Gong,3,ICCV,2019
Hang Zhou,3,ICCV,2019
Ziwei Liu,3,ICCV,2019
Stefano Soatto,3,ICCV,2019
Xiao Tan,3,ICCV,2019
Jiani Hu,3,ICCV,2019
Wei Wei,3,ICCV,2019
Mubarak Shah,3,ICCV,2019
Yu Wu,3,ICCV,2019
Kaiqi Huang,3,ICCV,2019
Varun Jampani,3,ICCV,2019
Tomas Pajdla,3,ICCV,2019
Rama Chellappa,3,ICCV,2019
Qiang Ji,3,ICCV,2019
Xuanyi Dong,3,ICCV,2019
Kostas Daniilidis,3,ICCV,2019
Jimei Yang,3,ICCV,2019
Thomas Brox,3,ICCV,2019
Du Tran,3,ICCV,2019
Kyoung Mu Lee,3,ICCV,2019
Philip H. S. Torr,3,ICCV,2019
Wangmeng Zuo,3,ICCV,2019
Yichao Zhou,3,ICCV,2019
Kris Kitani,3,ICCV,2019
Dongyu She,3,ICCV,2019
Sicheng Zhao,3,ICCV,2019
Alexei A. Efros,3,ICCV,2019
Eli Shechtman,3,ICCV,2019
Stan Sclaroff,3,ICCV,2019
Saining Xie,3,ICCV,2019
Ross Girshick,3,ICCV,2019
Baochang Zhang,3,ICCV,2019
Liang-Chieh Chen,3,ICCV,2019
Greg Mori,3,ICCV,2019
R. Venkatesh Babu,3,ICCV,2019
Bo Li,3,ICCV,2019
Jan Dirk Wegner,3,ICCV,2019
Wei-Chiu Ma,3,ICCV,2019
Haoqi Fan,3,ICCV,2019
Charles R. Qi,3,ICCV,2019
Anelia Angelova,3,ICCV,2019
Piotr Dollar,3,ICCV,2019
Ronak Mehta,3,ICCV,2019
Sangdoo Yun,3,ICCV,2019
Nenghai Yu,3,ICCV,2019
Hisham Cholakkal,3,ICCV,2019
Josef Sivic,3,ICCV,2019
Mingze Xu,3,ICCV,2019
David J. Crandall,3,ICCV,2019
Yang Cao,3,ICCV,2019
Boqing Gong,3,ICCV,2019
Jiaming Liu,3,ICCV,2019
Wei Wang,3,ICCV,2019
Charless C. Fowlkes,3,ICCV,2019
Yizhou Wang,3,ICCV,2019
Gerard Pons-Moll,3,ICCV,2019
Angjoo Kanazawa,3,ICCV,2019
Yu Qiao,3,ICCV,2019
Kui Jia,3,ICCV,2019
Xiaoyun Yang,3,ICCV,2019
Andreas Geiger,3,ICCV,2019
Pheng-Ann Heng,3,ICCV,2019
Jimmy Ren,3,ICCV,2019
