author,count,conference,year
Vinay P. Namboodiri,9,WACV,2021
In So Kweon,4,WACV,2021
Theo Gevers,4,WACV,2021
Luc Van Gool,4,WACV,2021
Didier Stricker,4,WACV,2021
Badri N. Patro,3,WACV,2021
Haochen Wang,3,WACV,2021
Xianbin Cao,3,WACV,2021
Dimosthenis Karatzas,3,WACV,2021
Marco Pedersoli,3,WACV,2021
Eric Granger,3,WACV,2021
Lorenzo Torresani,3,WACV,2021
Pratik Mazumder,3,WACV,2021
Pravendra Singh,3,WACV,2021
Yingli Tian,3,WACV,2021
Xiaohui Xie,3,WACV,2021
Vishal M. Patel,3,WACV,2021
Baochang Zhang,3,WACV,2021
Luca Minciullo,3,WACV,2021
Francois Bremond,3,WACV,2021
Zhiwu Lu,3,WACV,2021
Tao Xiang,3,WACV,2021
Vittorio Murino,3,WACV,2021
Elahe Arani,3,WACV,2021
Bahram Zonooz,3,WACV,2021
Wei Wang,3,WACV,2021
Sezer Karaoglu,3,WACV,2021
Ismail Ben Ayed,3,WACV,2021
Varun Ravi Kumar,3,WACV,2021
Senthil Yogamani,3,WACV,2021
Wei Liu,3,WACV,2021
Gal Chechik,2,WACV,2021
Pan Ji,2,WACV,2021
Yandan Yang,2,WACV,2021
Andres Mafla,2,WACV,2021
Lluis Gomez,2,WACV,2021
Raffay Hamid,2,WACV,2021
Yang Wang,2,WACV,2021
Minh Hoai,2,WACV,2021
Or Litany,2,WACV,2021
Srinath Sridhar,2,WACV,2021
Leonidas Guibas,2,WACV,2021
Ziyi Kou,2,WACV,2021
Shaojie Wang,2,WACV,2021
Wentian Zhao,2,WACV,2021
Chenliang Xu,2,WACV,2021
Ming-Hsuan Yang,2,WACV,2021
Yang Liu,2,WACV,2021
Anders Heyden,2,WACV,2021
Simon Niklaus,2,WACV,2021
Tianfan Xue,2,WACV,2021
Nasser M. Nasrabadi,2,WACV,2021
Philipp Benz,2,WACV,2021
Chaoning Zhang,2,WACV,2021
Miaojing Shi,2,WACV,2021
Zhe Lin,2,WACV,2021
Tom Drummond,2,WACV,2021
Yujia Zhang,2,WACV,2021
Hirokatsu Kataoka,2,WACV,2021
Taojiannan Yang,2,WACV,2021
Chen Chen,2,WACV,2021
Liangjian Chen,2,WACV,2021
Shih-Yao Lin,2,WACV,2021
Yusheng Xie,2,WACV,2021
Yen-Yu Lin,2,WACV,2021
Cristian Rodriguez-Opazo,2,WACV,2021
Basura Fernando,2,WACV,2021
Hongdong Li,2,WACV,2021
Stephen Gould,2,WACV,2021
Viktor Olsson,2,WACV,2021
Wilhelm Tranheden,2,WACV,2021
Juliano Pinto,2,WACV,2021
Lennart Svensson,2,WACV,2021
Juho Kannala,2,WACV,2021
Xuan Gong,2,WACV,2021
David Doermann,2,WACV,2021
Rui Dai,2,WACV,2021
Gianpiero Francesca,2,WACV,2021
Xin Yu,2,WACV,2021
Jurgen Gall,2,WACV,2021
Wei-Sheng Lai,2,WACV,2021
Jason J. Corso,2,WACV,2021
Suhas Lohit,2,WACV,2021
Rushil Anirudh,2,WACV,2021
Pavan Turaga,2,WACV,2021
Vinod K. Kurmi,2,WACV,2021
Venkatesh K. Subramanian,2,WACV,2021
Manish Gupta,2,WACV,2021
Pietro Morerio,2,WACV,2021
Diane Larlus,2,WACV,2021
Rainer Stiefelhagen,2,WACV,2021
Fahad Sarfraz,2,WACV,2021
Mert R. Sabuncu,2,WACV,2021
Gongjie Zhang,2,WACV,2021
Kaiwen Cui,2,WACV,2021
Shijian Lu,2,WACV,2021
Rene Schuster,2,WACV,2021
Christian Unger,2,WACV,2021
Heng Fan,2,WACV,2021
Haibin Ling,2,WACV,2021
Binod Bhattarai,2,WACV,2021
Tae-Kyun Kim,2,WACV,2021
Armin Mehri,2,WACV,2021
Clinton Fookes,2,WACV,2021
Adam Teuscher,2,WACV,2021
Connor Anderson,2,WACV,2021
Ryan Farrell,2,WACV,2021
Subrahmanyam Murala,2,WACV,2021
Ming Jiang,2,WACV,2021
Qi Zhao,2,WACV,2021
Shaofeng Cai,2,WACV,2021
Chenxi Xiao,2,WACV,2021
Juan Wachs,2,WACV,2021
Mohamed Chaabane,2,WACV,2021
Ameni Trabelsi,2,WACV,2021
Ross Beveridge,2,WACV,2021
Haiyan Wang,2,WACV,2021
Liang Yang,2,WACV,2021
Jinglun Feng,2,WACV,2021
Takumi Kobayashi,2,WACV,2021
Wei-Chen Chiu,2,WACV,2021
Arnold W.M. Smeulders,2,WACV,2021
Issam Laradji,2,WACV,2021
David Vazquez,2,WACV,2021
Hao Tang,2,WACV,2021
Feras Dayoub,2,WACV,2021
Benjamin S. Riggan,2,WACV,2021
Andres Romero,2,WACV,2021
Radu Timofte,2,WACV,2021
Jun Hao Liew,2,WACV,2021
Long Mai,2,WACV,2021
Jiashi Feng,2,WACV,2021
William Robson Schwartz,2,WACV,2021
Pau Rodriguez,2,WACV,2021
Qi Tian,2,WACV,2021
Zhengming Ding,2,WACV,2021
Thomas Mensink,2,WACV,2021
C.V. Jawahar,2,WACV,2021
Aljosa Smolic,2,WACV,2021
Yanwei Fu,2,WACV,2021
David J. Crandall,2,WACV,2021
Peri Akiva,2,WACV,2021
Kristin Dana,2,WACV,2021
Xiaojin Gong,2,WACV,2021
Yimian Dai,2,WACV,2021
Yiquan Wu,2,WACV,2021
Kobus Barnard,2,WACV,2021
Hazem Rashed,2,WACV,2021
Ganesh Sistu,2,WACV,2021
Christoph Meinel,2,WACV,2021
Ying Chen,2,WACV,2021
Jose Dolz,2,WACV,2021
Oliver Wang,2,WACV,2021
Mathieu Page Fortin,1,WACV,2021
Brahim Chaib-Draa,1,WACV,2021
Mayank Lunayach,1,WACV,2021
Deepankar Srivastava,1,WACV,2021
Sarvesh,1,WACV,2021
Hunar Singh,1,WACV,2021
Idan Achituve,1,WACV,2021
Haggai Maron,1,WACV,2021
Gao Peng,1,WACV,2021
Bo Pang,1,WACV,2021
Cewu Lu,1,WACV,2021
Kumara Kahatapitiya,1,WACV,2021
Ranga Rodrigo,1,WACV,2021
Iuliia Kotseruba,1,WACV,2021
Amir Rasouli,1,WACV,2021
John K. Tsotsos,1,WACV,2021
Ahmed Shehab Khan,1,WACV,2021
Zhiyuan Li,1,WACV,2021
Jie Cai,1,WACV,2021
Yan Tong,1,WACV,2021
